School Name,Niche Rank,Number of Students,Number of Seniors,Proportion interested in UT,Number of Seniors interested
School for the Talented & Gifted,1,409,102.25,0.230337079,23.55196629
Liberal Arts & Science Academy,2,1285,321.25,0.311996609,100.2289106
School of Science & Engineering,3,492,123,0.174273859,21.43568465
Dallas Lutheran School,4,180,45,0.133640553,6.013824885
Westlake High School,5,2833,708.25,0.322444382,228.3712335
Carnegie Vanguard High School,6,854,213.5,0.224947808,48.02635699
Debakey H.S. for Health Prof,7,871,217.75,0.182000669,39.6306457
Carroll Senior High School,8,1390,347.5,0.220431951,76.60010285
Westwood High IB World School,9,2806,701.5,0.282000441,197.8233091
Kinder High School for the Performing and Visual Arts,10,794,198.5,0.228824273,45.4216182
Fort Worth Country Day School,11,1097,274.25,0.20797227,57.03639515
Vandegrift High School,12,2755,688.75,0.261642157,180.2060355
Jasper High School,13,1423,355.75,0.212827988,75.71355685
South Texas ISD Science Academy,14,767,191.75,0.191497976,36.71973684
Seven Lakes High School,15,3760,940,0.204208885,191.9563523
Highland Park High School,16,2219,554.75,0.224215247,124.3834081
Clements High School,17,2524,631,0.234726091,148.1121634
Obra D. Tompkins High School,18,4007,1001.75,0.178687196,178.9998987
Liberty High School,19,1901,475.25,0.211302895,100.421701
Reedy High School,20,1943,485.75,0.208127403,101.0978858
Coppell High School,21,3692,923,0.229828094,212.1313303
Cinco Ranch High School,22,3245,811.25,0.197502838,160.2241771
Westlake Academy,23,901,225.25,0.214828897,48.39020913
Health Careers High School,24,845,211.25,0.170836696,36.08925209
Flower Mound High School,25,3649,912.25,0.183515654,167.4121558
Independence High School,26,2143,535.75,0.193177738,103.4949731
Lovejoy High School,27,1616,404,0.176639816,71.36248562
Cypress Ranch High School,28,3054,763.5,0.172137262,131.4267997
Meridian World School,29,1670,417.5,0.251192369,104.872814
Cypress Woods High School,30,3320,830,0.173905076,144.3412131
Memorial High School,31,2607,651.75,0.2406639,156.8526971
Imagine International Academy of North Texas,32,1399,349.75,0.235751295,82.45401554
Plano West Senior High School,33,2695,673.75,0.215142525,144.9522765
Lebanon Trail High School,34,1872,468,0.203440539,95.21017203
Clear Horizons Early College High School,35,447,111.75,0.156050955,17.43869427
Reagan High School,36,3429,857.25,0.20963365,179.7084464
Clear Lake High School,37,2340,585,0.183539945,107.3708678
The Woodlands High School,38,4355,1088.75,0.212898057,231.7927599
College Park High School,39,3170,792.5,0.182880435,144.9327446
Booker T. Washington High School for the Performing & Visual Arts,40,992,248,0.221319797,54.88730964
Kingwood High School,41,2793,698.25,0.185910552,129.8120433
Heritage High School,42,2013,503.25,0.175347222,88.24348958
Wakeland High School,43,2050,512.5,0.169783645,87.01411808
Cedar Park High School,44,2082,520.5,0.211510791,110.0913669
College Station High School,45,2073,518.25,0.143123543,74.17377622
